date,type,value
1987-10-01,lf,7762781.1899999995
1987-10-01,nilf,4831601.807
1987-10-01,pop_15yr_over,12594383
1987-11-01,emp,7182161.301
1987-11-01,uemp,567069.7173
1987-11-01,lf,7749231.018
1987-11-01,nilf,4868074.921
1987-11-01,pop_15yr_over,12617305.94
1987-12-01,emp,7330688.657
1987-12-01,uemp,620635.5777
1987-12-01,lf,7951324.235
1987-12-01,nilf,4689145.177
1987-12-01,pop_15yr_over,12640469.41
1988-01-01,emp,7169392.598
1988-01-01,uemp,646230.6849
1988-01-01,lf,7815623.283
1988-01-01,nilf,4848740.791
1988-01-01,pop_15yr_over,12664364.07
1988-02-01,emp,7247304.349
1988-02-01,uemp,644748.5882
1988-02-01,lf,7892052.938
1988-02-01,nilf,4795904.259
1988-02-01,pop_15yr_over,12687957.200000001
1988-03-01,emp,7397447.882
1988-03-01,uemp,645201.5149
1988-03-01,lf,8042649.397
1988-03-01,nilf,4669137.771
1988-03-01,pop_15yr_over,12711787.17
1988-04-01,emp,7383371.107
1988-04-01,uemp,644794.9779
1988-04-01,lf,8028166.085
1988-04-01,nilf,4704385.98
1988-04-01,pop_15yr_over,12732552.06
1988-05-01,emp,7354833.831
1988-05-01,uemp,592967.2084
1988-05-01,lf,7947801.04
1988-05-01,nilf,4805526.051
1988-05-01,pop_15yr_over,12753327.09
1988-06-01,emp,7378263.0030000005
1988-06-01,uemp,569047.2076999999
1988-06-01,lf,7947310.21
1988-06-01,nilf,4827017.511
1988-06-01,pop_15yr_over,12774327.719999999
1988-07-01,emp,7383061.995
1988-07-01,uemp,518781.0648
1988-07-01,lf,7901843.0600000005
1988-07-01,nilf,4892713.989
1988-07-01,pop_15yr_over,12794557.049999999
1988-08-01,emp,7353286.392
1988-08-01,uemp,538697.7037000001
1988-08-01,lf,7891984.095
1988-08-01,nilf,4922462.034999999
1988-08-01,pop_15yr_over,12814446.13
1988-09-01,emp,7503157.163
1988-09-01,uemp,554549.5959
1988-09-01,lf,8057706.758
1988-09-01,nilf,4776838.866
1988-09-01,pop_15yr_over,12834545.620000001
1988-10-01,emp,7477266.467999999
1988-10-01,uemp,507894.2919
1988-10-01,lf,7985160.76
1988-10-01,nilf,4871707.102
1988-10-01,pop_15yr_over,12856867.86
1988-11-01,emp,7508606.914
1988-11-01,uemp,488393.9829
1988-11-01,lf,7997000.897
1988-11-01,nilf,4882163.375
1988-11-01,pop_15yr_over,12879164.27
1988-12-01,emp,7622911.428
1988-12-01,uemp,563324.5855
1988-12-01,lf,8186236.014
1988-12-01,nilf,4715437.918
1988-12-01,pop_15yr_over,12901673.930000002
1989-01-01,emp,7423842.649999999
1989-01-01,uemp,592017.2889
1989-01-01,lf,8015859.939
1989-01-01,nilf,4905794.649
1989-01-01,pop_15yr_over,12921654.59
1989-02-01,emp,7566488.4229999995
1989-02-01,uemp,597733.6085
1989-02-01,lf,8164222.032
1989-02-01,nilf,4777133.848999999
1989-02-01,pop_15yr_over,12941355.879999999
1989-03-01,emp,7634644.680000001
1989-03-01,uemp,545858.642
1989-03-01,lf,8180503.322
1989-03-01,nilf,4780824.4969999995
1989-03-01,pop_15yr_over,12961327.82
1989-04-01,emp,7678426.956
1989-04-01,uemp,514994.6978
1989-04-01,lf,8193421.654
1989-04-01,nilf,4786570.241
1989-04-01,pop_15yr_over,12979991.9
1989-05-01,emp,7720789.507
1989-05-01,uemp,517337.1743
1989-05-01,lf,8238126.682
1989-05-01,nilf,4760468.971
1989-05-01,pop_15yr_over,12998595.649999999
1989-06-01,emp,7711039.122
1989-06-01,uemp,475943.4734
1989-06-01,lf,8186982.596
1989-06-01,nilf,4830435.6680000005
1989-06-01,pop_15yr_over,13017418.26
1989-07-01,emp,7740771.902000001
1989-07-01,uemp,482079.7652
1989-07-01,lf,8222851.667
1989-07-01,nilf,4813241.615
1989-07-01,pop_15yr_over,13036093.28
1989-08-01,emp,7715273.013
1989-08-01,uemp,468341.8654
1989-08-01,lf,8183614.8780000005
1989-08-01,nilf,4871115.261
1989-08-01,pop_15yr_over,13054730.14
1989-09-01,emp,7841590.327
1989-09-01,uemp,499797.8566
1989-09-01,lf,8341388.182999999
1989-09-01,nilf,4732185.659
1989-09-01,pop_15yr_over,13073573.84
1989-10-01,emp,7806483.846
1989-10-01,uemp,456430.0123
1989-10-01,lf,8262913.859
1989-10-01,nilf,4830510.495
1989-10-01,pop_15yr_over,13093424.35
1989-11-01,emp,7862356.823
1989-11-01,uemp,445317.19700000004
1989-11-01,lf,8307674.0200000005
1989-11-01,nilf,4805486.638
1989-11-01,pop_15yr_over,13113160.66
1989-12-01,emp,7935525.34
1989-12-01,uemp,500964.0184
1989-12-01,lf,8436489.358000001
1989-12-01,nilf,4696605.633
1989-12-01,pop_15yr_over,13133094.99
1990-01-01,emp,7707692.951
1990-01-01,uemp,549295.5754
1990-01-01,lf,8256988.527
1990-01-01,nilf,4894265.861
1990-01-01,pop_15yr_over,13151254.39
1990-02-01,emp,7802990.262
1990-02-01,uemp,592676.0014000001
1990-02-01,lf,8395666.263999999
1990-02-01,nilf,4773619.286
1990-02-01,pop_15yr_over,13169285.55
1990-03-01,emp,7874133.266
1990-03-01,uemp,547922.1242999999
1990-03-01,lf,8422055.389999999
1990-03-01,nilf,4765483.970000001
1990-03-01,pop_15yr_over,13187539.360000001
1990-04-01,emp,7887948.389
1990-04-01,uemp,533180.8201
1990-04-01,lf,8421129.209
1990-04-01,nilf,4783593.16
1990-04-01,pop_15yr_over,13204722.37
1990-05-01,emp,7908463.677
1990-05-01,uemp,548636.6799999999
1990-05-01,lf,8457100.356999999
1990-05-01,nilf,4764741.7930000005
1990-05-01,pop_15yr_over,13221842.15
1990-06-01,emp,7900256.9350000005
